,importance
log_volume_change_1d,0.04834928432830589
obv_norm_20d,0.044206613334186205
log_return_lag_3d,0.04175766715842762
log_return_lag_5d,0.04153245281558442
log_return_lag_2d,0.04020030633042236
log_return_lag_4d,0.03828882825979457
log_return_lag_1d,0.038174276050507897
vol_ratio_5d_20d,0.03696284321055539
sma_ratio_5d_20d,0.03637849838766168
volume_rel_20d,0.03550777731586702
rolling_log_return_50d,0.035478128092556765
log_return_1d,0.03409145455062945
sma_ratio_10d_50d,0.033062467311750776
bollinger_bandwidth,0.03201152891662434
price_rel_sma_50d,0.03190120811294523
bollinger_pct_b,0.03158351533425684
price_rel_sma_5d,0.0313499117606724
rolling_log_return_10d,0.031097961742468195
volatility_5d,0.030383020689095604
rolling_log_return_20d,0.029458223680851558
volatility_10d,0.027920025403891647
volatility_20d,0.02554307482105228
rsi_14d,0.02506667382795057
price_rel_sma_10d,0.024924179456658
rsi_7d,0.024719209832455142
volatility_50d,0.02443895633005131
price_rel_sma_20d,0.024041008795016094
rolling_log_return_5d,0.02271018260643571
sma_10d,0.01937075821687101
sma_50d,0.01881508402278766
sma_5d,0.018445612467397877
sma_20d,0.01687149185452358
momentum_sign_50d,0.0018474197755886598
momentum_sign_5d,0.001492205680085749
momentum_sign_10d,0.0011074926314857529
momentum_sign_20d,0.0009106568945848475
